,Song Title,Artist,Date Reached #1,Lyrics
Do the Humpty Hump, do the Humpty Hump

[Breakdown]
Oh, yeah, that's the break, y'all
Let me hear a little bit of that bass groove right here
Oh, yeah!
Now that I told ya a little bit about myself
Let me tell ya a little bit about this dance
It's real easy to do--check it out

[Verse Three]
First I limp to the side like my leg was broken
Shaking and twitching kinda like I was smoking
Crazy wack funky
People say 'ya look like M.C. Hammer on crack, Humpty'
That's all right cause my body's in motion
It's supposed to look like a fit or a convulsion
Anyone can play this game
This is my dance, y'all, Humpty Hump's my name
No two people will do it the same
Ya got it down when ya appear to be in pain
Humping, funking, jumping
Jig around, shaking ya rump
And when a doo-doo chump punk points a finger like a stump
Tell him step off, I'm doing the Hump

[Hook]
The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doing, doing the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

Black people, do the Humpty Hump, do the Humpty Hump
White people, do the Humpty Hump, do the Humpty Hump
Puerto Ricans, do the Humpty Hump, just keep on doing the hump
Samoans, do the Humpty Hump, do the Humpty Hump

Let's get stoopid!

[Hook]
The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doing, doing the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

Oh, yeah, come on and break it down

[Outro]
Once again, the Underground is in the house
I'd like to send a shout out to the whole world
Keep on doing the Humpty Dance
And to the ladies
Peace, and Humptiness forever"
13,Murder Rap,Above the Law,"April 21, 1990","[Intro: KMG]
""Yo, Cold 187. They tryin' to give you a murder rap. And you ain't even like that. Yo, serve these niggas, 'cause they deserve to get dissed.""
(Yeah)
(Check this out)

[Verse 1: Cold 187um]
When I sit down and write and recite for the mic I hold
Make sure my beats are loud and bold and Cold
187, that is my name, makin' it simple and plain
Here to rearrange and change
The things that I couldn't do in the past
Don't be surprised when you got a shotgun up your ass
Perpetrators, that one was just for you
I'm gonna leave ya in your seat remaining without a clue
Glued to my style like a fiend on coke
But if you say the wrong thing, I wash your mouth out with soap
Dope, is not the answer
No, I'm not a Cancer
No, I'm not a hero or zero
But a Leo in stereo
And this is not a demo
K-Oss and Go Mack be cuttin' the flex tempo fast

[Hook]
Now I got a murder rap
'Cause a brother like me said well
Now I got a murder rap
'Cause a brother like me said well
Now I got a murder rap
'Cause a brother like me said well
Now I got a murder rap
'Cause a brother like me said well

[KMG]
Yo, fingerprints ain't nuthin' without the murder weapon
Keep steppin'
Homicide tried to sweat, but we let 'em have it
You can see they fear through they teeth
Treat 'em like Rolaids and give 'em some relief

[Verse 2: Cold 187um]
I feel action speaks louder than words and verbs
And adjectives, I live the life, the given gift
Not who's first, second or third
Not he said or she said or what you heard, nerd
'Cause when you live like that, your life is mangled
In other words your life is all tangled up
I'm not a sucker, always go for mine
Powerlord that's hard from the start, and he will always (climb)
To the top as high as he can achieve
Sometimes that's even higher than the others believe
I'm not a doctor, not a poet, I don't have a degree
Not arrogant, egotistical, I'm the epitome
We take recon, these suckas are lying
Transform into another world as I recite these rhymes
187, he's as hard as it comes
And I don't have to brag
About the size of my gun, son

[Hook]
Now I got a murder rap
'Cause a brother like me said well
Now I got a murder rap
'Cause a brother like me said well
Now I got a murder rap
'Cause a brother like me said well

[KMG]
Criminals don't use lyrics and define themselves as notorious
Brothers gotta learn Hip Hop anger rages inside themselves
Your freedom will never resist to my contact K-Oss and the homie G

[Verse 3: Cold 187um]
187 breakin' back, backbone of my group
Fat kid in my posse and I'm gettin' loose
'Cause I'm takin' out posses, 'causin' bodily harm
Makin' moves to improve as I begin to brainstorm
I'm not inferior, not takin' no crap
Last sucker tried to diss me, cold got his neck slapped
'Cause power's my name, sometimes I'm insane
And if I get too mad, I have to rearrange
Your position as a MC, that's the way it should be
The way I get over, I use terminology
That's comprehensive, redemptive
That's evidently not related to the style that you hear everyday
B-boy destroyin' a toy, employin'
While the other suckers are depressed, I'm enjoyin'
What I'm doin', and ruin anyone's hope for my position
Tell em KMG, they on a mission

[KMG]
They on a mission
They keep wishin you can't come off
187, you're a menace in your own mind
So take heed and proceed with caution
When he rhymes

Now I got a murder rap
Here's a murder rap to keep ya dancin'
Now I got a murder rap
Cause a brother like me said well"
14,Funhouse,Kid 'n Play,"May 5, 1990","Kid:
Alright yo
Could you.. could you be quiet for a minute, alright?
C.. Wiz, turn it down Dukes
Hey, could ya'll please shut up?
Wiz, chill!
Yo, Play got something to say

Play:
Alright yo, alright yo
Let's get this together cause it ain't gon' last forever
You know what I'm saying?
Yo, yo, man, don't trash my place
Hey yo, Hurb
Bass!

Verse 1:
They come from miles around to check out the sound
Watch the walls come tumbling down
Kid 'n Play is the perfect team
Now it's time to let off some steam
Don't be bashful now, don't be shy
This ain't no time for you to wonder why
You're not on the floor with someone else?
Don't blame us, blame yourself
You ain't got the guts to get with it
The time is now Dukes to admit this is the perfect situation to take a chance in
Cause this is a house that we dance in

Chorus:
Do a little dance now (like this ya'll, like that ya'll)
Feel the groove (I feel it, i feel it now)
Make a little love now (Ooh ah ooh oh ooh ah)
This party's at the funhouse (this party's at the funhouse)

Verse 2:
Now just go, let the beat flow
Not you crow, I don't want to come see your freak show flow
Smooth not slow, be a dynamo
Kid 'n Play says so and yo
Let's flip when the beat rips
Wiz got a gift and we got [the tune?] to shoot it
Your place of mind, anywhere's just fine
And when you're in the mood to unwind you'll find a good time
I'm looking for a great time
If that's too much to ask then I'll pass
Let's settle for a nice time
Anytime's the right time for a Kid 'n Play rhyme
Right here, just fine

Chorus:
Do a little dance now (like this ya'll, like that ya'll)
Feel the groove (I feel it, i feel it now)
Make a little love now (Ooh ah ooh oh ooh ah)
This party's at the funhouse (this party's at the funhouse)
Keep on singing, keep on singing (x3)
This party's at the funhouse (this party's at the funhouse)

Verse 3:
Only a few moments left to step
So you're best to step to her
It's your last chance to do her
You (uh) wanted to know what the good life is?
Beats by Hurb, Rhymes: Kid 'n Play and cuts by Wiz
Just hype it up for this here crowd
[?]
Last call for alcohol at the jamboree
Just get off the walls and cheer for me
Just rock when the beat drops
Watch the clock it's almost time to close up shop
And we got to hip hop harder
[?]
Look out for my father
Kid, make sure ain't nothing been broken
Last record ya'll and I'm hoping we don't get caught because i know her
If mom finds out, I'm over

Chorus (x3)
Keep on singing, keep on singing (x8)"
15,911 Is a Joke,Public Enemy,"May 26, 1990","[Intro]
Hit me!
""Somebody call an ambulance!""
""There's not a minute to spare""
""Don't worry""
""There's not a minute to spare""
""Don't worry""
Going, going, gone!

[Verse 1: Flavor Flav]
Now I dialed 911 a long time ago
Don't you see how late they're reacting?
They only come and they come when they wanna
So get the morgue truck and embalm the goner
They don't care 'cause they stay paid anyway
They treat you like an ace that can't beat a trey
A no-use number with no-use people
If your life is on the line then you're dead today
Latecomers with the late coming stretcher
That's a body bag in disguise y'all, I'll betcha
I call 'em body snatchers cause they come to fetch ya
With an autopsy ambulance just to dissect ya
They are the kings cause they swing amputation
Lose you arms or legs to their miscalculation
I can prove it to you, watch the rotation
It all adds up to a fucked up situation

[Chorus]
So get up, get, get, get down
911 is a joke in yo town
Get up, get, get, get down
Late 911 wears the late crown
So get up get, get get down
911 is a joke in yo town
Get up, get, get, get down
Late 911 wears the late crown

[Interlude]
911 is a joke
911 is a joke

[Verse 2: Flavor Flav]
Everyday they don't never come correct
You can ask my man right here with the broken neck
He's a witness to the job never being done
He would've been in full effect
But late 911 was a joke cause they only joking
They the token to your life when it's croaking
They need to be in a pawn shop on a
911 is a joke we don't want 'em
I call a cab cause a cab will come quicker
The doctors huddle up and call a flea flicker
Reason why I say that cause they flick you off like fleas
They be laughing at you while you're crawling on your knees
And to the strength so go the length
Thinkin' you are first when you really are tenth
You better wake up and smell the real flavor
Cause 911 is a fake life saver

[Hook]
So get up get, get get down
911 is a joke in yo town
Get up, get, get, get down
Late 911 wears the late crown
So get up get, get get down
911 is a joke in yo town
Get up, get, get, get down
Late 911 wears the late crown

[Outro]
Ahh
Flavor Flav says Ahh
So get up get, get get down
911 is a joke in yo town
Get up, get, get, get down
Late 911 wears the late crown
